PC: 80001404, WEN: 1, WNUM: 06, WDATA: 000000ff
PC: 80001408, WEN: 1, WNUM: 07, WDATA: 000000ff
PC: 80001410, WEN: 1, WNUM: 06, WDATA: 00000000
PC: 80001414, WEN: 1, WNUM: 07, WDATA: 00000000
PC: 8000141c, WEN: 1, WNUM: 05, WDATA: 8010041c
PC: 80001420, WEN: 1, WNUM: 05, WDATA: 80100000
PC: 80001424, WEN: 1, WNUM: 06, WDATA: 0000001c
PC: 80001428, WEN: 1, WNUM: 06, WDATA: 0000001d
PC: 800009d0, WEN: 1, WNUM: 01, WDATA: 800009d4
PC: 8000144c, WEN: 1, WNUM: 05, WDATA: 8010044c
PC: 80001450, WEN: 1, WNUM: 05, WDATA: 80100008
PC: 80001454, WEN: 1, WNUM: 06, WDATA: 000000ff
PC: 80001458, WEN: 1, WNUM: 07, WDATA: 000000ff
PC: 80001460, WEN: 1, WNUM: 06, WDATA: 0000ff00
PC: 80001464, WEN: 1, WNUM: 07, WDATA: 00010000
PC: 80001468, WEN: 1, WNUM: 07, WDATA: 0000ff00
PC: 80001470, WEN: 1, WNUM: 05, WDATA: 80100470
PC: 80001474, WEN: 1, WNUM: 05, WDATA: 80100000
PC: 80001478, WEN: 1, WNUM: 06, WDATA: 0000001d
PC: 8000147c, WEN: 1, WNUM: 06, WDATA: 0000001e
PC: 800009d4, WEN: 1, WNUM: 01, WDATA: 800009d8
PC: 800014a0, WEN: 1, WNUM: 05, WDATA: 00000005
PC: 800014a4, WEN: 1, WNUM: 06, WDATA: 00000005
PC: 800014b0, WEN: 1, WNUM: 05, WDATA: 00000001
PC: 800014b4, WEN: 1, WNUM: 06, WDATA: 00000002
